case_id,kind,dose_krad_si,x_v,drain_current_a
S_D50_n80,transfer,50,-1.93,2.15248993384e-10
S_D50_n80,transfer,50,-1.84405555556,2.46867421662e-10
S_D50_n80,transfer,50,-1.72913828395,3.03255880845e-10
S_D50_n80,transfer,50,-1.58913828395,3.72321548345e-10
S_D50_n80,transfer,50,-1.44913828395,3.88272500333e-10
S_D50_n80,transfer,50,-1.30913828395,3.4278001939e-10
S_D50_n80,transfer,50,-1.16913828395,2.85496474153e-10
S_D50_n80,transfer,50,-1.02913828395,2.88689814019e-10
S_D50_n80,transfer,50,-0.889138283951,5.50994792782e-10
S_D50_n80,transfer,50,-0.749138283951,2.12423979459e-09
S_D50_n80,transfer,50,-0.609138283951,1.02994019847e-08
S_D50_n80,transfer,50,-0.469138283951,5.0170657334e-08
S_D50_n80,transfer,50,-0.329138283951,2.43679796969e-07
S_D50_n80,transfer,50,-0.189138283951,1.12972475307e-06
S_D50_n80,transfer,50,-0.0491382839506,4.95905231196e-06
S_D50_n80,transfer,50,0.09086171604939999,2.11482901014e-05
S_D50_n80,transfer,50,0.230861716049,8.76809451969e-05
S_D50_n80,transfer,50,0.370861716049,0.000347465373222
S_D50_n80,transfer,50,0.510861716049,0.00126533096604
S_D50_n80,transfer,50,0.650861716049,0.00394508290253
S_D50_n80,transfer,50,0.790861716049,0.00975632489365
S_D50_n80,transfer,50,0.930861716049,0.0187249117215
S_D50_n80,transfer,50,1.07086171605,0.0290381985303
S_D50_n80,transfer,50,1.21086171605,0.0387426474153
S_D50_n80,transfer,50,1.35086171605,0.0469894259628
S_D50_n80,transfer,50,1.49086171605,0.0537617036316
S_D50_n80,transfer,50,1.63086171605,0.0593135138066
S_D50_n80,transfer,50,1.77086171605,0.0639122742157
S_D50_n80,transfer,50,1.91086171605,0.0677740863617
S_D50_n80,transfer,50,2.05086171605,0.0710617412478
S_D50_n80,transfer,50,2.19086171605,0.07389601533530001
S_D50_n80,transfer,50,2.33086171605,0.07636694364380001
S_D50_n80,transfer,50,2.47086171605,0.0785424481285
S_D50_n80,transfer,50,2.61086171605,0.080474508049
S_D50_n80,transfer,50,2.75086171605,0.0822034886839
S_D50_n80,transfer,50,2.89086171605,0.0837611807533
S_D50_n80,transfer,50,3.03086171605,0.0851729539096
S_D50_n80,transfer,50,3.17086171605,0.0864593015237
S_D50_n80,transfer,50,3.31086171605,0.08763696393460001
S_D50_n80,transfer,50,3.45086171605,0.0887197564092
S_D50_n80,transfer,50,3.59086171605,0.0897191875855
S_D50_n80,transfer,50,3.73086171605,0.0906449272834
S_D50_n80,transfer,50,3.87086171605,0.0915051646035
S_D50_n80,transfer,50,4.01086171605,0.09230688512229999
S_D50_n80,transfer,50,4.15086171605,0.0930560877033
S_D50_n80,transfer,50,4.29086171605,0.0937579557389
S_D50_n80,transfer,50,4.43086171605,0.0944169936349
S_D50_n80,transfer,50,4.57086171605,0.09503713651789999
S_D50_n80,transfer,50,4.71086171605,0.0956218391254
S_D50_n80,transfer,50,4.85086171605,0.0961741483554
S_D50_n80,transfer,50,4.99086171605,0.0966967629118
S_D50_n80,transfer,50,5,0.09672986274500001
